service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1902,0,0,0,0,0,0,0,20160602,20160831
1903,0,0,0,0,0,0,0,20160602,20160831
46501,1,1,1,1,1,0,0,20160602,20160604
46502,1,1,1,1,0,0,0,20160602,20160604
46503,0,1,1,1,1,0,0,20160602,20160604
46504,0,1,1,1,1,0,0,20160602,20160604
46505,0,0,0,0,1,0,0,20160602,20160604
46506,0,0,0,0,0,1,0,20160602,20160604
46507,0,0,0,0,0,1,0,20160602,20160604
46508,0,0,0,0,0,0,1,20160602,20160604
46509,0,0,0,0,0,0,1,20160602,20160604
46510,0,0,1,1,1,1,0,20160602,20160604
46511,0,1,1,1,1,1,0,20160602,20160604
46512,0,1,1,1,1,1,0,20160602,20160604
46513,1,0,0,0,0,0,0,20160602,20160604
46514,1,0,0,0,0,0,0,20160602,20160604
46515,1,0,0,0,0,0,0,20160602,20160604
46516,0,1,0,0,0,0,0,20160602,20160604
46517,0,1,0,0,0,0,0,20160602,20160604
46518,1,0,1,1,1,0,0,20160602,20160604
46519,1,0,1,1,1,0,0,20160602,20160604
46520,0,0,1,0,0,0,0,20160602,20160604
46521,0,0,1,0,0,0,0,20160602,20160604
46522,1,1,0,1,1,0,0,20160602,20160604
46523,1,1,0,1,1,0,0,20160602,20160604
46524,0,0,0,1,0,0,0,20160602,20160604
46525,0,0,0,1,0,0,0,20160602,20160604
46526,1,1,1,0,1,0,0,20160602,20160604
46527,1,1,1,0,1,0,0,20160602,20160604
46528,0,1,1,0,0,0,0,20160602,20160604
46529,0,1,1,0,0,0,0,20160602,20160604
46530,1,0,0,1,1,0,0,20160602,20160604
46531,1,0,0,1,1,0,0,20160602,20160604
46532,1,1,0,0,1,0,0,20160602,20160604
46533,1,1,0,0,1,0,0,20160602,20160604
46534,1,1,1,1,1,0,1,20160602,20160604
46535,1,1,1,1,1,0,1,20160602,20160604
46536,1,1,1,1,1,1,0,20160602,20160604
46537,1,1,1,1,1,1,0,20160602,20160604
46538,1,1,1,1,1,1,0,20160602,20160604
46539,1,1,1,1,1,0,0,20160602,20160604
46540,1,1,1,1,0,0,1,20160602,20160604
46601,1,1,1,1,1,0,0,20160605,20160831
46602,1,1,1,1,0,0,0,20160605,20160831
46603,0,1,1,1,1,0,0,20160605,20160831
46604,0,1,1,1,1,0,0,20160605,20160831
46605,0,0,0,0,1,0,0,20160605,20160831
46606,0,0,0,0,0,1,0,20160605,20160831
46607,0,0,0,0,0,1,0,20160605,20160831
46608,0,0,0,0,0,0,1,20160605,20160831
46609,0,0,0,0,0,0,1,20160605,20160831
46610,0,0,1,1,1,1,0,20160605,20160831
46611,0,1,1,1,1,1,0,20160605,20160831
46612,0,1,1,1,1,1,0,20160605,20160831
46613,1,0,0,0,0,0,0,20160605,20160831
46614,1,0,0,0,0,0,0,20160605,20160831
46615,1,0,0,0,0,0,0,20160605,20160831
46616,0,1,0,0,0,0,0,20160605,20160831
46617,0,1,0,0,0,0,0,20160605,20160831
46618,1,0,1,1,1,0,0,20160605,20160831
46619,1,0,1,1,1,0,0,20160605,20160831
46620,0,0,1,0,0,0,0,20160605,20160831
46621,0,0,1,0,0,0,0,20160605,20160831
46622,1,1,0,1,1,0,0,20160605,20160831
46623,1,1,0,1,1,0,0,20160605,20160831
46624,0,0,0,1,0,0,0,20160605,20160831
46625,0,0,0,1,0,0,0,20160605,20160831
46626,1,1,1,0,1,0,0,20160605,20160831
46627,1,1,1,0,1,0,0,20160605,20160831
46628,0,1,1,0,0,0,0,20160605,20160831
46629,0,1,1,0,0,0,0,20160605,20160831
46630,1,0,0,1,1,0,0,20160605,20160831
46631,1,0,0,1,1,0,0,20160605,20160831
46632,1,1,0,0,1,0,0,20160605,20160831
46633,1,1,0,0,1,0,0,20160605,20160831
46634,1,1,1,1,1,0,1,20160605,20160831
46635,1,1,1,1,1,0,1,20160605,20160831
46636,1,1,1,1,1,1,0,20160605,20160831
46637,1,1,1,1,1,1,0,20160605,20160831
46638,1,1,1,1,1,1,0,20160605,20160831
46639,1,1,1,1,1,0,0,20160605,20160831
46640,1,1,1,1,0,0,1,20160605,20160831
105101,1,1,1,1,1,0,0,20160602,20160831
105102,1,1,1,1,0,0,0,20160602,20160831
105103,0,1,1,1,1,0,0,20160602,20160831
105104,0,1,1,1,1,0,0,20160602,20160831
105105,0,0,0,0,1,0,0,20160602,20160831
105106,0,0,0,0,0,1,0,20160602,20160831
105107,0,0,0,0,0,1,0,20160602,20160831
105108,0,0,0,0,0,0,1,20160602,20160831
105109,0,0,0,0,0,0,1,20160602,20160831
105110,0,0,1,1,1,1,0,20160602,20160831
105111,0,1,1,1,1,1,0,20160602,20160831
105112,0,1,1,1,1,1,0,20160602,20160831
105113,1,0,0,0,0,0,0,20160602,20160831
105114,1,0,0,0,0,0,0,20160602,20160831
105115,1,0,0,0,0,0,0,20160602,20160831
105116,0,1,0,0,0,0,0,20160602,20160831
105117,0,1,0,0,0,0,0,20160602,20160831
105118,1,0,1,1,1,0,0,20160602,20160831
105119,1,0,1,1,1,0,0,20160602,20160831
105120,0,0,1,0,0,0,0,20160602,20160831
105121,0,0,1,0,0,0,0,20160602,20160831
105122,1,1,0,1,1,0,0,20160602,20160831
105123,1,1,0,1,1,0,0,20160602,20160831
105124,0,0,0,1,0,0,0,20160602,20160831
105125,0,0,0,1,0,0,0,20160602,20160831
105126,1,1,1,0,1,0,0,20160602,20160831
105127,1,1,1,0,1,0,0,20160602,20160831
105128,0,1,1,0,0,0,0,20160602,20160831
105129,0,1,1,0,0,0,0,20160602,20160831
105130,1,0,0,1,1,0,0,20160602,20160831
105131,1,0,0,1,1,0,0,20160602,20160831
105132,1,1,0,0,1,0,0,20160602,20160831
105133,1,1,0,0,1,0,0,20160602,20160831
105134,1,1,1,1,1,0,1,20160602,20160831
105135,1,1,1,1,1,0,1,20160602,20160831
105136,1,1,1,1,1,1,0,20160602,20160831
105137,1,1,1,1,1,1,0,20160602,20160831
105138,1,1,1,1,1,1,0,20160602,20160831
105139,1,1,1,1,1,0,0,20160602,20160831
105140,1,1,1,1,0,0,1,20160602,20160831
205101,1,1,1,1,1,0,0,20160602,20160831
