service_id,date,exception_type
1902,20160625,1
1902,20160710,1
1902,20160711,1
1902,20160713,1
1903,20160709,1
46601,20160704,2
46602,20160704,2
46603,20160704,2
46604,20160705,2
46605,20160704,2
46606,20160704,2
46607,20160705,2
46608,20160705,2
46609,20160704,1
46610,20160705,2
46611,20160704,2
46612,20160705,2
46613,20160704,2
46614,20160705,2
46615,20160705,1
46616,20160704,2
46617,20160705,2
46618,20160704,2
46619,20160705,2
46620,20160704,2
46621,20160705,2
46622,20160704,2
46623,20160705,2
46624,20160704,2
46625,20160705,2
46626,20160704,2
46627,20160705,2
46628,20160704,2
46629,20160705,2
46630,20160704,2
46631,20160705,2
46632,20160704,2
46633,20160705,2
46634,20160704,2
46635,20160705,2
46636,20160704,2
46637,20160705,2
46638,20160705,1
46639,20160705,1
46640,20160704,1
105101,20160704,2
105102,20160704,2
105103,20160704,2
105104,20160705,2
105105,20160704,2
105106,20160704,2
105107,20160705,2
105108,20160705,2
105109,20160704,1
105110,20160705,2
105111,20160704,2
105112,20160705,2
105113,20160704,2
105114,20160705,2
105115,20160705,1
105116,20160704,2
105117,20160705,2
105118,20160704,2
105119,20160705,2
105120,20160704,2
105121,20160705,2
105122,20160704,2
105123,20160705,2
105124,20160704,2
105125,20160705,2
105126,20160704,2
105127,20160705,2
105128,20160704,2
105129,20160705,2
105130,20160704,2
105131,20160705,2
105132,20160704,2
105133,20160705,2
105134,20160704,2
105135,20160705,2
105136,20160704,2
105137,20160705,2
105138,20160705,1
105139,20160705,1
105140,20160704,1
205101,20160704,2
